loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies
3175.0, 36 months,16.99,113.19,D3,3 years,RENT,45000.0,Fully Paid,debt_consolidation,9.01,10.0,1.0,841.0,10.0,20.0,2.0,1.0
18000.0, 36 months,11.99,597.78,C1,8 years,MORTGAGE,68953.29,Fully Paid,credit_card,21.51,12.0,0.0,17537.0,62.4,26.0,1.0,0.0
10000.0, 60 months,11.99,222.4,B5,2 years,MORTGAGE,41000.0,Fully Paid,debt_consolidation,9.31,10.0,0.0,12305.0,72.4,27.0,1.0,0.0
6300.0, 36 months,11.99,209.23,C1,2 years,RENT,30000.0,Fully Paid,credit_card,29.28,10.0,1.0,1684.0,14.8,18.0,3.0,1.0
30000.0, 60 months,9.99,637.27,B3,10+ years,MORTGAGE,105000.0,Fully Paid,debt_consolidation,24.4,19.0,0.0,7640.0,12.5,31.0,0.0,0.0
11375.0, 36 months,16.49,402.67,D3,2 years,MORTGAGE,57000.0,Fully Paid,debt_consolidation,16.46,16.0,0.0,25001.0,74.0,33.0,4.0,0.0
25000.0, 60 months,23.7,714.86,F1,10+ years,MORTGAGE,63000.0,Fully Paid,debt_consolidation,31.18,10.0,0.0,18789.0,82.8,17.0,1.0,0.0
12000.0, 36 months,10.15,388.06,B2,1 year,MORTGAGE,80000.0,Fully Paid,debt_consolidation,9.92,11.0,0.0,12500.0,39.4,24.0,4.0,0.0
14700.0, 60 months,23.32,417.11,E3,9 years,RENT,35000.0,Fully Paid,credit_card,13.13,9.0,0.0,8914.0,77.5,10.0,0.0,0.0
16000.0, 36 months,16.99,570.37,D1,< 1 year,RENT,50000.0,Fully Paid,credit_card,10.2,7.0,0.0,14165.0,69.8,8.0,0.0,0.0
7575.0, 36 months,19.99,281.48,E3,6 years,OWN,24000.0,Fully Paid,medical,9.96,19.0,0.0,1868.0,10.3,38.0,0.0,0.0
35000.0, 60 months,19.99,927.1,E4,10+ years,MORTGAGE,180000.0,Fully Paid,credit_card,21.31,12.0,0.0,136461.0,99.7,25.0,2.0,0.0
8000.0, 36 months,16.99,285.19,D1,7 years,RENT,62000.0,Fully Paid,other,15.18,13.0,0.0,8182.0,44.0,17.0,0.0,0.0
15000.0, 36 months,12.49,501.74,B5,10+ years,MORTGAGE,65000.0,Fully Paid,debt_consolidation,14.16,8.0,0.0,9644.0,75.9,28.0,3.0,0.0
15000.0, 36 months,7.62,467.43,A3,10+ years,MORTGAGE,50000.0,Fully Paid,credit_card,18.51,7.0,0.0,14920.0,69.7,17.0,1.0,0.0
18000.0, 60 months,22.47,501.97,E5,7 years,RENT,83000.0,Fully Paid,debt_consolidation,20.96,13.0,0.0,13859.0,69.0,37.0,3.0,0.0
30000.0, 36 months,14.99,1039.82,C4,10+ years,RENT,91000.0,Fully Paid,debt_consolidation,21.98,22.0,0.0,18117.0,36.7,29.0,0.0,0.0
10000.0, 36 months,11.99,332.1,B3,10+ years,MORTGAGE,75000.0,Fully Paid,credit_card,12.4,13.0,1.0,14405.0,42.5,29.0,2.0,1.0
