loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,purpose,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies
16000.0, 60 months,8.49,328.19,B1,5 years,MORTGAGE,62000.0,credit_card,28.92,10.0,0.0,15763.0,51.2,24.0,3.0,0.0
16000.0, 60 months,14.85,379.39,C5,10+ years,RENT,90000.0,credit_card,16.65,13.0,1.0,10159.0,51.8,20.0,0.0,1.0
28000.0, 60 months,10.78,605.73,B4,3 years,MORTGAGE,135000.0,debt_consolidation,26.15,13.0,0.0,37679.0,60.4,30.0,3.0,0.0
10800.0, 60 months,8.49,221.53,B1,9 years,MORTGAGE,96000.0,car,12.25,17.0,0.0,37430.0,49.1,26.0,4.0,0.0
8725.0, 36 months,11.99,289.76,C1,10+ years,MORTGAGE,60000.0,debt_consolidation,29.56,9.0,0.0,7990.0,38.6,33.0,4.0,0.0
28000.0, 60 months,14.85,663.92,C5,10+ years,MORTGAGE,110000.0,debt_consolidation,24.02,10.0,0.0,18524.0,31.3,31.0,3.0,0.0
22500.0, 60 months,11.99,500.39,C1,< 1 year,RENT,50000.0,debt_consolidation,18.0,6.0,0.0,7205.0,71.0,17.0,5.0,0.0
33550.0, 60 months,16.59,826.43,D2,5 years,OWN,144000.0,debt_consolidation,32.18,12.0,0.0,20237.0,64.0,30.0,0.0,0.0
13200.0, 60 months,8.49,270.76,B1,10+ years,MORTGAGE,108000.0,home_improvement,24.82,18.0,0.0,72761.0,58.8,27.0,1.0,0.0
18000.0, 60 months,13.99,418.74,C4,3 years,MORTGAGE,70000.0,debt_consolidation,20.34,11.0,0.0,11065.0,44.6,30.0,1.0,0.0
15025.0, 36 months,25.09,598.11,F4,4 years,RENT,47000.0,small_business,11.54,3.0,0.0,171.0,6.3,10.0,0.0,0.0
9600.0, 36 months,25.09,382.16,F4,4 years,RENT,51000.0,debt_consolidation,20.6,20.0,1.0,5184.0,35.8,30.0,0.0,1.0
33600.0, 60 months,20.5,899.57,E4,4 years,MORTGAGE,98000.0,debt_consolidation,22.62,24.0,1.0,18864.0,51.1,63.0,1.0,0.0
30000.0, 60 months,22.45,836.27,F1,2 years,MORTGAGE,170000.0,debt_consolidation,22.57,16.0,0.0,6163.0,42.5,34.0,5.0,0.0
15000.0, 36 months,7.49,466.53,A4,3 years,MORTGAGE,105000.0,debt_consolidation,5.01,9.0,0.0,15152.0,34.4,23.0,0.0,0.0
10200.0, 60 months,14.85,241.86,C5,6 years,MORTGAGE,37500.0,debt_consolidation,17.92,36.0,0.0,5382.0,44.8,57.0,3.0,0.0
10000.0, 36 months,9.8,321.74,B3,< 1 year,RENT,100000.0,credit_card,4.84,9.0,0.0,11748.0,89.7,21.0,0.0,0.0
35000.0, 60 months,21.48,956.35,E5,2 years,MORTGAGE,180000.0,small_business,7.28,25.0,0.0,10376.0,34.7,42.0,2.0,0.0
20000.0, 60 months,14.85,474.23,C5,8 years,MORTGAGE,80000.0,credit_card,25.17,16.0,0.0,27275.0,83.7,33.0,0.0,0.0
8000.0, 36 months,17.27,286.3,D3,1 year,RENT,35000.0,debt_consolidation,20.54,12.0,0.0,8365.0,52.0,13.0,0.0,0.0
21000.0, 60 months,14.85,497.94,C5,3 years,RENT,100000.0,credit_card,30.78,23.0,0.0,46650.0,66.5,33.0,0.0,0.0
23825.0, 60 months,10.78,515.41,B4,10+ years,MORTGAGE,125000.0,debt_consolidation,25.14,9.0,0.0,378262.0,85.0,19.0,5.0,0.0
32000.0, 60 months,10.78,692.26,B4,3 years,MORTGAGE,112000.0,credit_card,16.73,17.0,0.0,23061.0,25.5,48.0,2.0,0.0
18000.0, 60 months,10.78,389.4,B4,8 years,MORTGAGE,84000.0,debt_consolidation,28.14,22.0,0.0,28422.0,54.7,63.0,2.0,0.0
29900.0, 60 months,19.48,783.55,E2,3 years,MORTGAGE,65000.0,home_improvement,34.42,13.0,0.0,14086.0,41.8,33.0,2.0,0.0
16000.0, 60 months,11.99,355.84,C1,10+ years,OWN,72000.0,debt_consolidation,20.93,10.0,1.0,7300.0,27.0,31.0,4.0,1.0
35000.0, 60 months,26.99,1068.53,G1,4 years,MORTGAGE,125000.0,debt_consolidation,21.25,15.0,0.0,10679.0,39.6,57.0,2.0,0.0
19600.0, 60 months,17.27,489.97,D3,2 years,OWN,54000.0,credit_card,37.93,20.0,0.0,11280.0,56.4,42.0,0.0,0.0
28000.0, 60 months,13.99,651.37,C4,10+ years,RENT,98448.0,debt_consolidation,11.85,12.0,1.0,17504.0,15.5,22.0,1.0,1.0
24000.0, 60 months,13.99,558.32,C4,< 1 year,MORTGAGE,125000.0,debt_consolidation,17.92,10.0,0.0,22990.0,34.8,19.0,1.0,0.0
21600.0, 60 months,13.44,496.35,C3,4 years,MORTGAGE,135000.0,home_improvement,23.95,18.0,1.0,9146.0,36.4,63.0,3.0,1.0
25000.0, 60 months,24.24,722.69,F3,2 years,MORTGAGE,50000.0,major_purchase,19.61,8.0,2.0,4400.0,34.6,21.0,1.0,1.0
12000.0, 60 months,13.44,275.75,C3,1 year,RENT,72000.0,debt_consolidation,18.11,11.0,1.0,8373.0,59.0,40.0,2.0,1.0
24000.0, 60 months,13.99,558.32,C4,10+ years,RENT,62640.0,credit_card,13.2,15.0,0.0,21931.0,59.0,21.0,0.0,0.0
20400.0, 60 months,19.48,534.59,E2,7 years,RENT,50000.0,debt_consolidation,20.28,5.0,0.0,23591.0,62.9,14.0,0.0,0.0
16000.0, 60 months,18.49,410.58,D5,4 years,RENT,120000.0,debt_consolidation,37.22,6.0,0.0,11988.0,101.6,28.0,0.0,0.0
10000.0, 60 months,14.85,237.12,C5,< 1 year,MORTGAGE,49000.0,home_improvement,9.82,19.0,1.0,1295.0,5.0,36.0,2.0,1.0
29000.0, 60 months,8.49,594.84,B1,10+ years,MORTGAGE,95000.0,debt_consolidation,17.78,13.0,0.0,8642.0,20.0,35.0,1.0,0.0
16000.0, 60 months,7.91,323.74,A5,10+ years,MORTGAGE,55000.0,credit_card,6.24,18.0,0.0,12862.0,23.6,37.0,2.0,0.0
11975.0, 60 months,12.88,271.74,C2,< 1 year,MORTGAGE,45000.0,credit_card,28.43,11.0,0.0,17121.0,58.8,19.0,1.0,0.0
18500.0, 60 months,21.48,505.5,E5,2 years,MORTGAGE,98600.0,debt_consolidation,25.07,22.0,0.0,30963.0,35.1,53.0,8.0,0.0
17000.0, 60 months,20.5,455.14,E4,2 years,RENT,50000.0,small_business,34.69,9.0,0.0,8154.0,65.6,19.0,0.0,0.0
12000.0, 60 months,14.85,284.54,C5,10+ years,RENT,65000.0,debt_consolidation,35.13,24.0,0.0,9064.0,24.8,35.0,0.0,0.0
18000.0, 60 months,13.99,418.74,C4,10+ years,MORTGAGE,87200.0,credit_card,36.45,17.0,0.0,31733.0,75.9,26.0,2.0,0.0
12000.0, 60 months,11.99,266.88,C1,< 1 year,RENT,629000.0,debt_consolidation,2.68,14.0,0.0,13975.0,68.4,27.0,0.0,0.0
30000.0, 60 months,20.5,803.19,E4,10+ years,MORTGAGE,110000.0,debt_consolidation,22.9,26.0,0.0,57007.0,50.2,44.0,2.0,0.0
18025.0, 60 months,18.49,462.54,D5,10+ years,MORTGAGE,65000.0,debt_consolidation,26.38,7.0,0.0,3244.0,87.7,21.0,2.0,0.0
12900.0, 60 months,22.45,359.6,F1,2 years,RENT,71000.0,debt_consolidation,35.58,19.0,1.0,8408.0,55.3,55.0,3.0,1.0
30000.0, 60 months,13.18,685.36,C3,4 years,RENT,137500.0,credit_card,10.03,4.0,0.0,27042.0,96.2,14.0,0.0,0.0
21000.0, 60 months,15.77,508.12,D1,2 years,MORTGAGE,83677.0,home_improvement,18.3,10.0,0.0,13770.0,65.3,26.0,4.0,0.0
18000.0, 36 months,7.89,563.15,A5,10+ years,MORTGAGE,110000.0,debt_consolidation,19.73,8.0,0.0,30751.0,73.4,19.0,2.0,0.0
20000.0, 60 months,17.86,506.35,D5,2 years,RENT,70000.0,major_purchase,10.83,9.0,0.0,1186.0,21.6,17.0,0.0,0.0
20000.0, 60 months,11.22,437.05,B5,9 years,MORTGAGE,100000.0,credit_card,18.12,14.0,0.0,13123.0,66.6,35.0,5.0,0.0
30000.0, 36 months,11.22,985.29,B5,10+ years,MORTGAGE,120000.0,debt_consolidation,15.46,14.0,0.0,8393.0,48.5,23.0,2.0,0.0
10000.0, 60 months,11.22,218.53,B5,< 1 year,MORTGAGE,25988.0,credit_card,33.16,13.0,1.0,6243.0,23.7,25.0,2.0,1.0
11000.0, 36 months,15.41,383.54,D1,10+ years,MORTGAGE,69000.0,debt_consolidation,37.7,15.0,0.0,21430.0,86.4,28.0,2.0,0.0
15000.0, 60 months,16.99,372.71,D3,2 years,RENT,40000.0,credit_card,16.41,16.0,0.0,13182.0,44.0,16.0,0.0,0.0
23325.0, 60 months,9.76,492.84,B3,< 1 year,MORTGAGE,152000.0,debt_consolidation,7.67,19.0,0.0,22440.0,25.6,34.0,5.0,0.0
30000.0, 60 months,21.99,828.4,F1,10+ years,MORTGAGE,75000.0,debt_consolidation,13.62,14.0,1.0,3796.0,21.8,48.0,5.0,1.0
18250.0, 60 months,17.86,462.05,D5,10+ years,MORTGAGE,85000.0,credit_card,16.7,17.0,1.0,15215.0,75.7,28.0,3.0,1.0
14000.0, 60 months,12.59,315.62,C2,10+ years,MORTGAGE,98000.0,debt_consolidation,16.85,14.0,1.0,13014.0,56.3,18.0,3.0,0.0
10650.0, 60 months,23.99,306.32,F3,1 year,OWN,35500.0,debt_consolidation,12.24,8.0,0.0,5371.0,41.0,9.0,0.0,0.0
10000.0, 60 months,13.18,228.46,C3,2 years,MORTGAGE,100000.0,credit_card,28.08,16.0,1.0,52989.0,79.6,46.0,6.0,1.0
