profile_id,coolant,stator_winding,stator_tooth,motor_speed,stator_yoke,ambient,torque,pm
5,18.92988014,22.39465523,22.10275841,'999.996582',19.85062027,23.19555664,'0.160385996',30.94591522
12,18.48997307,25.15068054,25.65273476,'1999.981445',23.34530067,23.1823597,'-0.081361927',32.88401031
41,40.24539326,41.99456883,39.35179787,'1000.872537',38.71877688,21.44999262,'75',28.77798612
12,18.7754364,25.60004997,25.92590714,'1999.980103',23.5427742,23.16294861,'-0.126440987',33.89813995
2,18.92570305,103.0550308,72.12159729,'99.98269653',52.57542038,22.2595787,'206.2731476',44.93143845
49,50.26485588,75.87172019,68.59887342,'4662.883952',59.45424976,25.68382843,'-29.35433052',65.88639269
76,58.18867429,104.4688444,85.02063758,'1124.484202',72.07667705,26.38239572,'-173.2818601',72.96360725
57,28.31106499,48.29835588,45.98617533,'2300.225845',39.45228656,25.77464443,'38.54558808',62.73897424
15,18.8801384,42.14578247,39.45228577,'3999.956055',32.19452286,25.08493996,'-0.536917567',58.70949173
54,32.89569805,59.9151188,47.89636207,'3844.59503',39.430198,25.70535801,'62.27823289',38.60147889
7,19.35685921,39.45228577,32.50708008,'500.0040894',27.33917236,22.70651054,'103.2550278',32.91301727
76,63.22405063,65.51180491,64.01167703,'0.000172521',62.96956318,26.38445416,'4.58E-157',72.6597136
45,66.95377535,66.88006164,65.58784161,'500.0260613',65.46220712,24.88655954,'3.7055e-320',66.49716517
12,18.17720604,49.15499878,39.45506287,'1999.982178',32.6300087,23.19935989,'101.945961',43.52035904
75,35.79213192,57.29363988,49.29754559,'4203.32866',41.3212324,23.7356978,'36.15195056',45.43154525
3,18.33657837,19.37408638,18.64094925,'100.0080338',18.73910522,22.10894775,'0.199867606',23.45905113
45,28.81489978,48.18106445,45.13904595,'1499.99024',39.44830404,24.78929756,'50',62.0825229
16,18.42362022,58.53868484,44.88859177,'749.9991455',35.12940979,,'139.2840271',43.61552048
41,85.9226761,95.04687292,91.867779,'1499.991115',88.63146003,24.84980763,'25',77.33644075
11,18.33185768,37.89116669,32.97391891,'-0.003851093',28.65540314,23.17706299,'-18.47024727',51.06220245
62,28.23331946,29.3130026,28.36661332,'-0.002150844',27.99223015,23.92727902,'-3.7055e-320',42.93354754
60,70.57457183,127.6463594,102.6659843,'1310.615076',86.88282208,26.39186744,'-197.0492861',77.96945547
19,19.07047081,65.61463928,55.92931366,'5999.931641',39.45542908,26.248806,'-0.279137641',73.89118958
32,18.81677437,60.9324379,49.32227325,'2569.983398',37.87311172,22.52858734,'110.7618332',52.05747986
74,55.05641148,103.032928,91.0084176,'0.004249606',76.29978558,27.98888036,'4.51E-20',90.15983165
2,18.77934074,19.4739933,18.62210274,'100.0052261',18.752882,22.44955826,'0.224838689',23.05662155
45,86.09301292,88.59540446,86.00791821,'2499.980338',84.43667453,24.9789971,'50',68.13887775
21,19.27178383,104.3807602,78.70666504,'4499.958496',53.33916855,19.85155487,'79.65244293',83.8917923
8,18.69031715,23.56774712,23.66263771,'1499.98999',21.83733559,,'-0.012154455',31.00555801
12,18.61857224,25.28900146,25.73484421,'1999.978271',23.29163551,23.3827858,'-0.081672929',33.13520813
80,62.90258425,70.54037935,65.5881148,'-0.003361965',63.59894929,25.09710085,'-2.02E-71',72.16017206
57,69.53031909,95.43605071,86.0070603,'5535.030784',77.36622006,26.38451008,'7.662375944',81.34033638
69,29.20572697,45.98617534,42.75985688,'815.5498391',37.52096698,25.63395655,'-102.9069546',46.01602855
30,18.58470345,78.99924469,57.45660782,'149.9944153',43.07858658,21.21701431,'181.5661621',30.11076736
32,17.30624199,35.66192627,31.32605553,'2250.002441',25.77701569,19.09074211,'81.74697113',28.60328293
55,34.78656622,84.48971864,68.16514556,'3399.795014',53.33897109,25.49408771,'-112.4127426',67.98202658
70,44.19953898,76.65723143,64.08622236,'3557.383393',54.00766784,26.33525171,'108.0500822',62.59755224
48,49.82142088,62.45655401,60.75521841,'3404.713225',56.21664843,24.66311769,'2.313739513',66.43177717
17,18.6582489,50.06336594,43.80119705,'4999.945313',33.59260941,24.80205536,'-0.444669783',54.37949371
7,18.79692841,39.45228577,32.5327034,'499.9967957',27.19848442,23.17476082,'103.2894135',33.94793701
8,18.26337814,25.13092804,25.28978348,'1499.986938',23.17808342,23.16492462,'0.07172516',36.83312607
76,28.00967255,38.82818792,34.54616645,'2602.40656',30.28046707,25.61650573,'167.35783',35.67875312
74,54.92151556,104.7675129,84.5206129,'2861.192405',70.53869417,27.92703471,'143.8569664',74.33323011
19,18.98177528,100.6011734,78.7056427,'5999.942871',52.65376663,24.56806755,'49.08917618',92.75061798
75,49.80195352,64.33163476,54.21225556,'3627.554225',48.15460414,23.86570469,'76.48068336',46.509258
3,18.39686584,19.8490963,19.33615303,'99.99022675',19.28341675,22.12125015,'0.197105512',27.09412003
10,18.31579399,29.81435966,28.84873581,'1438.848389',25.17229843,22.43728828,'31.15990829',48.09644699
8,19.2528553,45.92919159,38.33148193,'1499.989868',31.34181786,22.12590981,'102.9718399',42.18182373
80,45.81278646,70.50802138,63.99799057,'634.4624437',56.77990453,23.60832156,'0.162260702',70.24681358
70,43.43794628,61.20186138,55.78826189,'-0.00056881',46.36217829,26.27502591,'2.76E-23',62.8581633
15,19.18378067,37.80377197,35.35801315,'3999.956299',29.26451111,,'-0.597238362',43.71888733
14,18.62225723,66.57486725,53.28933334,'2999.974121',39.45200729,23.44727516,'99.89131927',58.85092926
45,86.01943956,90.23589351,86.82804884,'2999.979574',84.5925306,24.5916955,'50',70.29084869
14,18.23308563,28.97512817,29.71135521,'2999.96875',25.85403633,,'-0.570425034',37.81455612
75,28.26432197,65.28238636,55.67904684,'4135.196503',43.81164737,25.37588365,'-98.81491808',68.16829645
29,18.78109932,31.43725586,29.61971092,'795.0108643',25.72257996,22.71303177,'46.15072632',64.85873413
16,18.38158226,58.41400528,44.76130295,'750.0020752',35.11248779,24.66805077,'139.2886047',43.55571747
54,43.87827455,57.61686428,52.31406313,'2394.883861',45.95303773,26.36806602,'80.65310569',62.45216969
24,19.48442268,122.8972778,92.6751709,'5499.953613',61.68309402,,'63.43617249',112.0912933
81,85.61677602,78.70729447,77.07314879,'-0.00239965',78.71053945,24.83354616,'-3.7055e-320',51.15369456
48,49.80349557,52.56469342,51.05875202,'298.9316203',50.06781578,25.14290342,'-0.258302821',57.22230329
31,19.14597321,91.11320496,72.12908936,'5649.953125',52.57118225,22.31855392,'20.08867645',83.87599182
75,28.3155497,35.03292772,33.61701298,'0.000172636',31.67901294,25.21294929,'8.34E-232',74.38393913
70,28.81716719,45.98617507,42.45407727,'3834.301234',36.89443459,25.89318938,'21.25979571',40.7325395
61,39.27989785,76.35492938,68.13986328,'792.758471',56.92010966,26.41949143,'-72.28114805',69.32101648
60,25.03690115,33.39362236,33.50072819,'3370.197901',29.73985093,26.38420804,'-59.46780588',58.53932335
16,18.41086578,58.80425644,45.36182022,'750.0076904',35.63001251,,'139.0935364',46.8406601
3,18.5351963,19.33785057,18.74515343,'99.97544861',18.71331215,22.20985985,'0.170079276',23.39538574
8,18.67897034,23.76639938,23.87479591,'1499.981812',22.12042427,23.42663956,'0.006783635',32.18130875
67,27.22981337,29.16879578,28.01381881,'0.00000895',27.13183916,26.19943073,'-1.23E-254',49.28451842
8,18.29034233,45.98613739,38.77686691,'1499.985107',31.39863014,23.90550804,'102.894516',44.08667374
73,62.95846406,78.71513405,67.971385,'4198.529921',61.77715722,24.79753591,'-41.95469757',58.7829352
9,19.22609329,53.61117172,44.52219391,'2499.979248',34.78901672,24.96378326,'100.5374222',48.82048416
29,19.40499878,135.1671143,94.90194702,'2849.965576',62.65748978,20.92934799,'146.6931305',85.2947998
32,19.04954529,61.28063583,49.44546509,'2569.969971',37.90249252,22.42174721,'110.6897125',52.54376602
2,18.96860504,102.5153503,71.9227066,'100.0208511',52.57110977,22.42873764,'206.5460663',40.09837341
81,41.55979001,45.15558015,43.16277394,'-0.003113173',42.31629601,24.69339991,'-2E-264',61.88006658
61,18.20466453,69.0476341,58.37470015,'4479.820363',43.51490579,27.7798699,'29.07093645',66.2599031
57,55.18850766,88.33440642,77.19602035,'1605.336201',67.84169121,25.14168043,'-40.29273741',54.22892531
54,32.73730518,64.71045567,52.62544415,'4613.680413',43.23022978,26.01082542,'-84.3969958',43.65654606
26,18.79320908,121.3804092,89.36815643,'3499.966553',60.66221619,22.04107857,'111.431076',92.02526855
24,19.62146378,123.1048889,93.10765076,'5499.944824',61.75787735,25.49463463,'63.48015976',112.2485657
44,90.95986769,85.23572263,84.47102949,'499.9862307',85.19349437,24.79937686,'3.7055e-320',60.25919913
46,90.96014968,104.7911742,99.82749065,'903.9177316',95.04869896,24.56963107,'-65.81511457',88.61171912
50,39.72863165,64.27011593,58.59040126,'3838.243236',50.90610079,26.26685906,'-44.73200138',61.57645956
24,19.46100044,122.5436401,91.47114563,'5499.947754',60.59387589,23.89379311,'64.40621185',106.9223022
24,18.39129829,56.26588058,46.72640991,'5499.944336',35.90483093,23.1697979,'-0.47925061',58.72926331
5,19.85207748,32.05791855,26.3723526,'999.9869385',23.21833611,21.13334846,'103.4323044',27.95101357
24,18.9716835,75.41470337,64.51345825,'5499.943848',45.98753357,25.51777458,'-0.127057582',92.70195007
69,56.12213692,65.67756363,62.46409,'3418.016162',59.37121584,25.62269193,'76.85825752',52.23617456
16,18.61647224,58.79088974,45.2796669,'749.9865723',35.54900742,23.68790054,'139.1288452',46.75522614
36,19.50272369,124.1000671,85.71765137,'300.0058594',58.93722153,19.84860992,'10.76367855',32.39685059
